"","id","cost","status","xloc","yloc"
"1",3,0,0,1116622.99,-4493479.31
"2",30,7527.2748438,3,1110622.99,-4496943.41162
"3",56,37349.0750781,0,1092622.99,-4500407.51323
"4",58,16959.0208122,0,1116622.99,-4500407.51323
"5",84,34220.2559424,0,1098622.99,-4503871.61485
"6",85,178907.5836914,0,1110622.99,-4503871.61485
"7",86,9653.2530566,0,1122622.99,-4503871.61485
"8",111,71547.6301953,0,1092622.99,-4507335.71646
"9",112,29790.9927136,0,1104622.99,-4507335.71646
"10",113,88162.0766162,0,1116622.99,-4507335.71646
"11",138,27.4206055,0,1086622.99,-4510799.81808
"12",139,98930.1047253,0,1098622.99,-4510799.81808
"13",140,32979.4437345,0,1110622.99,-4510799.81808
"14",141,26320.4223633,0,1122622.99,-4510799.81808
"15",166,0,0,1092622.99,-4514263.91969
"16",167,407580.8838721,0,1104622.99,-4514263.91969
"17",168,71993.4505143,0,1116622.99,-4514263.91969
"18",170,44049.8231982,0,1140622.99,-4514263.91969
"19",194,103923.0484546,0,1098622.99,-4517728.02131
"20",195,103923.0484546,0,1110622.99,-4517728.02131
"21",196,31130.0975502,0,1122622.99,-4517728.02131
"22",197,21379.6571484,0,1134622.99,-4517728.02131
"23",198,1594.237085,0,1146622.99,-4517728.02131
"24",221,163331.7180933,0,1092622.99,-4521192.12292
"25",222,207846.0969116,0,1104622.99,-4521192.12292
"26",223,138564.0646045,0,1116622.99,-4521192.12292
"27",224,57051.8537244,0,1128622.99,-4521192.12292
"28",225,25598.5119491,0,1140622.99,-4521192.12292
"29",248,30004.7358643,0,1086622.99,-4524656.22454
"30",249,207846.0969067,0,1098622.99,-4524656.22454
"31",250,207846.0969067,0,1110622.99,-4524656.22454
"32",251,205446.8315332,0,1122622.99,-4524656.22454
"33",252,407480.2599902,0,1134622.99,-4524656.22454
"34",253,63480.3030762,0,1146622.99,-4524656.22454
"35",275,10980.8104867,0,1080622.99,-4528120.32615
"36",276,103923.0484546,0,1092622.99,-4528120.32615
"37",277,207846.0969067,0,1104622.99,-4528120.32615
"38",278,138564.0646045,0,1116622.99,-4528120.32615
"39",279,103923.0484534,0,1128622.99,-4528120.32615
"40",280,103785.8567859,0,1140622.99,-4528120.32615
"41",281,34417.4972253,0,1152622.99,-4528120.32615
"42",303,137362.2950146,0,1086622.99,-4531584.42777
"43",304,103923.0484546,0,1098622.99,-4531584.42777
"44",305,103923.0484534,0,1110622.99,-4531584.42777
"45",306,103923.0484546,0,1122622.99,-4531584.42777
"46",307,207846.0969092,0,1134622.99,-4531584.42777
"47",308,138564.0646045,0,1146622.99,-4531584.42777
"48",309,30439.0149468,0,1158622.99,-4531584.42777
"49",330,70383.2408447,0,1080622.99,-4535048.52938
"50",331,207846.0969116,0,1092622.99,-4535048.52938
"51",332,415692.1938135,0,1104622.99,-4535048.52938
"52",333,207846.0969116,0,1116622.99,-4535048.52938
"53",334,207846.0969092,0,1128622.99,-4535048.52938
"54",335,207846.0969092,0,1140622.99,-4535048.52938
"55",336,207846.0969092,0,1152622.99,-4535048.52938
"56",337,142145.6547705,0,1164622.99,-4535048.52938
"57",358,138564.0646061,0,1086622.99,-4538512.631
"58",359,103923.0484534,0,1098622.99,-4538512.631
"59",360,103923.0484546,0,1110622.99,-4538512.631
"60",361,103923.0484558,0,1122622.99,-4538512.631
"61",362,207846.0969067,0,1134622.99,-4538512.631
"62",363,138564.0646045,0,1146622.99,-4538512.631
"63",364,103923.0484546,0,1158622.99,-4538512.631
"64",365,36818.1058213,0,1170622.99,-4538512.631
"65",382,13400.7087988,0,1374622.99,-4538512.631
"66",385,22929.027998,0,1080622.99,-4541976.73261
"67",386,103923.0484558,0,1092622.99,-4541976.73261
"68",387,207846.0969067,0,1104622.99,-4541976.73261
"69",388,138564.0646061,0,1116622.99,-4541976.73261
"70",389,103923.0484534,0,1128622.99,-4541976.73261
"71",390,103923.0484534,0,1140622.99,-4541976.73261
"72",391,103923.048457,0,1152622.99,-4541976.73261
"73",392,207846.0969043,0,1164622.99,-4541976.73261
"74",393,95272.9472876,0,1176622.99,-4541976.73261
"75",407,15719.6840967,0,1344622.99,-4541976.73261
"76",409,22810.9727627,0,1368622.99,-4541976.73261
"77",410,2527.6618823,0,1380622.99,-4541976.73261
"78",413,154212.6173486,0,1086622.99,-4545440.83423
"79",414,207846.0969092,0,1098622.99,-4545440.83423
