"","id1","id2","boundary"
"1",3,3,16000
"2",3,30,4000
"3",3,58,4000
"4",30,30,12000
"5",30,58,4000
"6",30,85,4000
"7",56,56,16000
"8",56,84,4000
"9",58,58,4000
"10",58,85,4000
"11",58,86,4000
"12",84,84,8000
"13",85,85,4000
"14",86,86,12000
"15",111,56,4000
"16",111,84,4000
"17",111,111,4000
"18",111,138,4000
"19",111,139,4000
"20",111,166,4000
"21",112,84,4000
"22",112,85,4000
"23",112,112,4000
"24",112,139,4000
"25",112,140,4000
"26",112,167,4000
"27",113,58,4000
"28",113,85,4000
"29",113,86,4000
"30",113,140,4000
"31",113,141,4000
"32",113,168,4000
"33",138,138,16000
"34",138,166,4000
"35",139,84,4000
"36",139,166,4000
"37",139,167,4000
"38",139,194,4000
"39",140,85,4000
"40",140,167,4000
"41",140,168,4000
"42",140,195,4000
"43",141,86,4000
"44",141,141,8000
"45",141,168,4000
"46",141,196,4000
"47",166,166,4000
"48",166,194,4000
"49",166,221,4000
"50",167,194,4000
"51",167,195,4000
"52",167,222,4000
"53",168,195,4000
"54",168,196,4000
"55",168,223,4000
"56",170,170,12000
"57",170,197,4000
"58",170,198,4000
"59",170,225,4000
"60",194,221,4000
"61",194,222,4000
"62",194,249,4000
"63",195,222,4000
"64",195,223,4000
"65",195,250,4000
"66",196,196,4000
"67",196,223,4000
"68",196,224,4000
"69",196,251,4000
"70",197,197,8000
"71",197,224,4000
"72",197,225,4000
"73",197,252,4000
"74",198,198,12000
"75",198,225,4000
"76",198,253,4000
"77",221,221,4000
"78",221,248,4000
"79",221,249,4000
"80",221,276,4000
"81",222,249,4000
"82",222,250,4000
"83",222,277,4000
"84",223,250,4000
"85",223,251,4000
"86",223,278,4000
"87",224,224,4000
"88",224,251,4000
"89",224,252,4000
"90",224,279,4000
"91",225,252,4000
"92",225,253,4000
"93",225,280,4000
"94",248,248,8000
"95",248,275,4000
"96",248,276,4000
"97",248,303,4000
"98",249,276,4000
"99",249,277,4000
"100",249,304,4000
"101",250,277,4000
"102",250,278,4000
"103",250,305,4000
"104",251,278,4000
"105",251,279,4000
"106",251,306,4000
"107",252,279,4000
"108",252,280,4000
"109",252,307,4000
"110",253,253,4000
"111",253,280,4000
"112",253,281,4000
"113",253,308,4000
"114",275,275,12000
"115",275,303,4000
"116",275,330,4000
"117",276,303,4000
"118",276,304,4000
"119",276,331,4000
"120",277,304,4000
"121",277,305,4000
"122",277,332,4000
"123",278,305,4000
"124",278,306,4000
"125",278,333,4000
"126",279,306,4000
"127",279,307,4000
"128",279,334,4000
"129",280,307,4000
"130",280,308,4000
"131",280,335,4000
"132",281,281,8000
"133",281,308,4000
"134",281,309,4000
"135",281,336,4000
"136",303,330,4000
"137",303,331,4000
"138",303,358,4000
"139",304,331,4000
"140",304,332,4000
"141",304,359,4000
"142",305,332,4000
"143",305,333,4000
"144",305,360,4000
"145",306,333,4000
"146",306,334,4000
"147",306,361,4000
"148",307,334,4000
"149",307,335,4000
"150",307,362,4000
"151",308,335,4000
"152",308,336,4000
"153",308,363,4000
"154",309,309,8000
"155",309,336,4000
"156",309,337,4000
"157",309,364,4000
"158",330,330,8000
"159",330,358,4000
"160",330,385,4000
"161",331,358,4000
"162",331,359,4000
"163",331,386,4000
"164",332,359,4000
"165",332,360,4000
"166",332,387,4000
"167",333,360,4000
"168",333,361,4000
"169",333,388,4000
"170",334,361,4000
"171",334,362,4000
"172",334,389,4000
"173",335,362,4000
"174",335,363,4000
"175",335,390,4000
"176",336,363,4000
"177",336,364,4000
"178",336,391,4000
"179",337,337,8000
"180",337,364,4000
"181",337,365,4000
"182",337,392,4000
"183",358,385,4000
"184",358,386,4000
"185",358,413,4000
"186",359,386,4000
"187",359,387,4000
"188",359,414,4000
"189",360,387,4000
"190",360,388,4000
"191",360,415,4000
"192",361,388,4000
"193",361,389,4000
"194",361,416,4000
"195",362,389,4000
"196",362,390,4000
"197",362,417,4000
"198",363,390,4000
"199",363,391,4000
"200",363,418,4000
"201",364,391,4000
"202",364,392,4000
"203",364,419,4000
"204",365,365,8000
"205",365,392,4000
"206",365,393,4000
"207",365,420,4000
"208",382,382,12000
"209",382,409,4000
"210",382,410,4000
"211",382,437,4000
"212",385,385,12000
"213",385,413,4000
"214",386,413,4000
"215",386,414,4000
"216",386,441,4000
"217",387,414,4000
"218",387,415,4000
"219",387,442,4000
"220",388,415,4000
"221",388,416,4000
"222",388,443,4000
"223",389,416,4000
"224",389,417,4000
"225",389,444,4000
"226",390,417,4000
"227",390,418,4000
"228",390,445,4000
"229",391,418,4000
"230",391,419,4000
"231",391,446,4000
"232",392,419,4000
"233",392,420,4000
"234",392,447,4000
"235",393,393,8000
"236",393,420,4000
"237",393,421,4000
"238",393,448,4000
"239",407,407,16000
"240",407,434,4000
"241",407,462,4000
"242",409,409,12000
"243",409,437,4000
"244",409,464,4000
"245",410,410,12000
"246",410,437,4000
"247",410,465,4000
"248",413,413,4000
"249",413,441,4000
"250",413,468,4000
"251",414,441,4000
"252",414,442,4000
"253",414,469,4000
"254",415,442,4000
"255",415,443,4000
"256",415,470,4000
"257",416,443,4000
"258",416,444,4000
"259",416,471,4000
"260",417,444,4000
"261",417,445,4000
"262",417,472,4000
"263",418,445,4000
"264",418,446,4000
"265",418,473,4000
"266",419,446,4000
"267",419,447,4000
"268",419,474,4000
"269",420,447,4000
"270",420,448,4000
"271",420,475,4000
"272",421,421,8000
"273",421,448,4000
"274",421,449,4000
"275",421,476,4000
"276",434,434,12000
"277",434,462,4000
"278",434,489,4000
"279",437,464,4000
"280",437,465,4000
"281",437,492,4000
"282",441,468,4000
"283",441,469,4000
"284",441,496,4000
"285",442,469,4000
"286",442,470,4000
"287",442,497,4000
"288",443,470,4000
"289",443,471,4000
"290",443,498,4000
"291",444,471,4000
"292",444,472,4000
"293",444,499,4000
"294",445,472,4000
"295",445,473,4000
"296",445,500,4000
"297",446,473,4000
"298",446,474,4000
"299",446,501,4000
"300",447,474,4000
"301",447,475,4000
"302",447,502,4000
"303",448,475,4000
"304",448,476,4000
"305",448,503,4000
