"","species","pu","amount"
"244",19,552,261.355830176
"245",20,552,58.41377168
"246",17,553,64.416678809
"247",18,553,520.265704395
"248",19,553,37.413489746
"249",20,553,83.665157275
"250",26,553,9.828832666
"251",17,554,238.05595708
"252",18,554,616.081929639
"253",19,554,185.962121045
"254",20,554,55.369978418
"255",17,555,35.747724463
"256",18,555,214.511815039
"257",19,555,107.52137207
"258",20,555,5.874456689
"259",25,555,206.088845361
"260",25,556,539.375586768
"261",25,557,565.413828223
"262",10,558,1790.956909326
"263",25,558,441.274478711
"264",10,559,4156.921938135
"265",25,559,326.617862549
"266",10,560,4053.085840137
"267",25,560,139.11819873
"268",10,561,94.652517773
"269",10,565,1037.927282813
"270",11,565,12.772731348
"271",11,566,239.914414404
"272",11,567,55.176223633
"273",12,567,6.103313232
"274",11,568,300.179548535
"275",11,569,423.80503125
"276",11,570,83.727937402
"277",11,571,111.854155469
"278",11,572,62.940845947
"279",12,572,14.694993896
"280",13,572,7.147595459
"281",11,573,530.621635889
"282",12,573,8.801276563
"283",13,573,6.686827686
"284",11,574,82.860609082
"285",12,574,15.184030176
"286",13,574,480.878787061
"287",11,575,172.839863477
"288",11,576,41.154542578
"289",26,578,114.559035938
"290",17,579,21.696035059
"291",18,579,49.235091504
"292",19,579,284.18694165
"293",20,579,343.910661084
"294",17,580,111.226274121
"295",18,580,237.160225537
"296",19,580,40.655854248
"297",20,580,40.104347754
"298",17,581,713.481881348
"299",18,581,258.176127148
"300",19,581,124.396912646
"301",20,581,292.732768604
"302",17,582,260.850523828
"303",18,582,511.587657373
"304",19,582,134.429008203
"305",20,582,88.080664014
"306",17,583,1.439697217
"307",18,583,99.721486426
"308",25,583,537.947183838
"309",25,584,321.185308057
"310",25,585,333.980212354
"311",10,586,2297.138852979
"312",25,586,521.222753271
"313",10,587,4156.921938184
"314",25,587,226.050780957
"315",10,588,4070.896250586
"316",25,588,240.728949805
"317",10,589,834.326624902
"318",11,589,17.688973633
"319",25,589,26.275292725
"320",10,591,595.442020508
"321",10,592,2069.544468604
"322",11,592,114.680412207
"323",25,592,1
"324",10,593,1227.802961377
"325",11,593,116.338451221
"326",11,594,175.328723389
"327",12,594,70.96527334
"328",13,594,9.827624951
"329",11,595,411.315175781
"330",11,596,47.622990527
"331",12,596,20.24748916
"332",13,596,60.924932959
"333",11,597,567.45825835
"334",11,598,159.352864404
"335",11,599,699.500882813
"336",12,599,59.086723193
"337",13,599,34.64332124
"338",12,600,213.011226025
"339",13,600,61.654956055
"340",11,601,1
"341",12,601,33.854089453
"342",13,601,40.623290771
"343",11,602,35.649933545
"344",11,603,509.504134814
"345",11,604,315.664326514
"346",18,606,0.026071729
"347",19,606,35.337343701
"348",20,606,0.740403027
"349",26,606,123.375744141
"350",17,607,132.237556396
"351",18,607,231.945401416
"352",19,607,156.060397119
"353",20,607,732.855026758
"354",17,608,298.180632861
"355",18,608,313.060864258
"356",19,608,58.786983057
"357",20,608,130.517068945
"358",17,609,186.625807422
"359",18,609,258.371710889
"360",19,609,308.580869678
"361",20,609,76.186763721
"362",17,610,4.867884863
"363",18,610,99.687024951
"364",19,610,27.891273438
"365",20,610,10.000198584
"366",17,611,0.100112158
"367",18,611,1.764500684
"368",25,611,1036.675922217
"369",25,612,531.480725049
"370",25,613,1002.505055713
"371",10,614,3506.563790283
"372",25,614,154.383872949
"373",10,615,4156.921938135
"374",25,615,48.780237354
"375",10,616,3951.391918896
"376",25,616,205.230095215
"377",10,617,2559.019548633
"378",11,617,63.886731152
"379",25,617,28.192707471
"380",10,618,1606.427850293
"381",10,619,1878.609429102
"382",11,619,201.973799609
"383",10,620,4156.921938086
"384",11,620,88.500431543
"385",25,620,5.365405518
"386",11,621,34.832468848
"387",12,621,88.731815918
"388",13,621,3
"389",11,622,34.382854004
"390",12,622,83.348887061
"391",13,622,24.029634717
"392",11,623,245.097505859
"393",12,623,179.284702441
"394",13,623,478.817225
"395",11,624,112.775121631
"396",12,624,15.378518896
"397",13,624,4.999999805
"398",11,625,391.91540874
"399",11,626,100.768237988
"400",13,626,148.878283887
"401",12,627,580.787812305
"402",13,627,215.750211816
"403",12,628,591.812958984
"404",13,628,128.386658496
"405",12,629,37.476410352
"406",13,629,12.178362988
"407",11,630,404.804065137
"408",11,631,28.426680225
"409",17,634,126.937737061
"410",18,634,317.275625488
"411",19,634,105.703046973
"412",20,634,393.99414248
"413",26,634,110.167983838
"414",17,635,101.343441406
"415",18,635,193.782248291
"416",19,635,195.88267124
"417",20,635,382.88961499
"418",17,636,262.633311035
"419",18,636,371.110684668
"420",19,636,240.035085059
"421",20,636,218.79876167
"422",17,637,153.542649072
"423",18,637,134.317283594
"424",19,637,250.655777979
"425",20,637,115.865837402
"426",17,638,8.260056592
"427",18,638,314.826892139
"428",19,638,24.072599512
"429",20,638,4.171085889
"430",25,638,16.930571533
"431",25,639,449.010478857
"432",25,640,520.506666113
"433",25,641,259.473726025
"434",10,642,3952.62576167
"435",25,642,250.194939014
"436",10,643,4156.921938135
"437",25,643,405.886544873
"438",10,644,4156.921938184
"439",25,644,193.657070361
"440",10,645,3596.253967676
"441",11,645,218.771136914
"442",10,646,3856.4599125
"443",11,646,360.726661865
"444",10,647,4156.921938184
"445",11,647,203.552964355
"446",25,647,5.802551367
"447",10,648,3148.440082227
"448",11,648,497.719240479
"449",11,649,423.858454785
"450",12,649,519.247817969
"451",13,649,17.06530166
"452",11,650,268.778837012
"453",12,650,151.887616553
"454",13,650,140.645421436
"455",12,651,213.908741943
"456",13,651,87.237798438
"457",11,652,60.852098145
"458",12,652,178.811882959
"459",13,652,79.061940771
"460",11,653,54.457046191
"461",12,653,49.394663086
"462",13,653,482.381563965
"463",11,654,14.065185986
"464",12,654,332.087140234
"465",13,654,154.846947119
"466",12,655,120.599102393
"467",13,655,397.708116357
"468",12,656,66.52169082
"469",13,656,167.089098193
"470",11,657,49.357892236
"471",12,657,44.049610596
"472",13,657,57.228525586
"473",11,658,330.914643213
"474",11,659,2.05404292
"475",18,661,154.148003076
"476",19,661,183.24409751
"477",20,661,88.864558447
"478",26,661,78.267064893
"479",17,662,90.435327344
"480",18,662,306.315459814
"481",19,662,88.098187549
"482",20,662,479.037472852
"483",17,663,220.848096973
"484",18,663,280.677351563
"485",19,663,226.79905752
"486",20,663,222.130243994
"487",17,664,59.804854541
"488",18,664,210.222182666
"489",19,664,368.501915918
"490",20,664,172.240940576
"491",17,665,6.589741699
"492",18,665,9.368751221
"493",19,665,107.260406445
"494",20,665,114.063896582
"495",17,666,6.117632275
"496",18,666,88.404266309
"497",19,666,8.410871191
"498",20,666,12.227430322
"499",25,666,537.208039258
"500",25,667,477.132794531
"501",25,668,367.688318115
"502",10,669,36.138022559
"503",25,669,43.960564063
"504",10,670,4156.921938232
"505",25,670,134.759098291
"506",10,671,4156.921938135
"507",25,671,295.198364551
"508",10,672,4156.921938184
"509",11,672,84.24140625
"510",25,672,312.92255376
"511",10,673,4156.921938184
"512",11,673,211.036331689
"513",25,673,0.241312451
"514",10,674,3656.213667969
"515",11,674,501.515906152
"516",25,674,1
"517",10,675,4156.921938184
"518",11,675,135.167883594
"519",25,675,1.640380957
"520",10,676,3220.842049609
"521",11,676,160.648953027
"522",12,677,51.887421143
"523",13,677,146.629047266
"524",12,678,285.584002393
"525",13,678,476.97535083
"526",11,679,1.369361963
"527",12,679,126.118260205
"528",13,679,281.422055566
"529",11,680,378.878010986
"530",12,680,136.358921631
"531",13,680,135.41573252
"532",11,681,0.640380811
"533",12,681,156.063148291
"534",13,681,205.618036963
"535",12,682,180.68169541
"536",13,682,17.168510449
"537",12,683,216.193686133
"538",13,683,184.753473291
"539",12,684,232.633946875
"540",13,684,24.064194287
"541",11,685,59.321555957
"542",12,685,121.243288672
"543",13,685,13.194289307
"544",11,686,54.192245508
"545",17,689,56.116639209
"546",18,689,42.2064521
"547",19,689,482.908699219
"548",20,689,418.163104004
"549",17,690,106.302142236
"550",18,690,114.99245459
"551",19,690,18.229136572
"552",20,690,274.802776514
"553",17,691,161.027840234
"554",18,691,333.504872852
"555",19,691,416.028650732
"556",20,691,104.405008154
"557",19,692,88.758561963
"558",17,693,6.445261719
"559",18,693,103.957106152
"560",19,693,155.48505918
"561",20,693,206.755919385
"562",22,694,9.684670508
"563",23,694,209.624587891
"564",24,694,108.856419189
"565",25,694,783.75604834
"566",25,695,119.773965723
"567",25,696,178.467086963
"568",10,697,581.034905469
"569",25,697,133.984233203
"570",10,698,4156.921938281
"571",25,698,277.16177793
"572",10,699,4156.921938184
"573",25,699,87.979922314
"574",10,700,4156.921938232
"575",11,700,42.05499834
"576",25,700,688.254614209
"577",10,701,4088.921938037
"578",11,701,200.664526611
"579",25,701,33.279312354
"580",10,702,4156.921938184
"581",25,702,5.999999902
"582",10,703,4156.921938232
"583",11,703,186.965178271
"584",25,703,715.615404492
"585",10,704,14.170181543
"586",11,704,24.731122266
"587",13,704,55.444228125
"588",12,705,133.957421924
"589",13,705,488.677317188
"590",12,706,412.873266602
"591",13,706,352.877983789
"592",12,707,362.237187207
"593",13,707,325.871395117
"594",12,708,62.630801953
"595",13,708,228.211750879
"596",11,709,130.632957861
"597",12,709,448.940647021
"598",13,709,97.444653418
"599",12,710,301.392492627
"600",13,710,114.724932129
"601",12,711,109.63389209
"602",13,711,45.16767334
"603",12,712,61.876212988
"604",13,712,195.689433496
"605",11,713,53.096653027
"606",17,716,6
"607",18,716,26.159339355
"608",19,716,130.605208252
"609",20,716,151.753249561
"610",26,716,51.43243877
"611",17,717,373.497392432
"612",18,717,188.224158447
"613",19,717,200.947433594
"614",20,717,390.256173926
"615",17,718,300.201762744
"616",18,718,464.294718945
"617",19,718,604.349470313
"618",20,718,154.847851416
"619",17,719,4141.71892832
"620",19,719,4.366373486
"621",20,719,0.654932178
"622",17,720,1.365388672
"623",18,720,64.718361377
"624",19,720,27.841559229
"625",20,720,29.833222461
"626",17,721,39.223262207
"627",18,721,87.389085693
"628",19,721,13.283262354
"629",20,721,5.724329395
"630",22,721,11.454444141
"631",23,721,16.438891309
"632",25,721,253.508205566
"633",22,722,1412.365759131
"634",23,722,49.058538867
"635",24,722,6.24752373
"636",25,722,16.80507334
"637",25,723,67.748346924
"638",25,724,63.113414502
"639",10,725,2039.602859619
"640",25,725,193.306497803
"641",10,726,4156.921938135
"642",25,726,125.788377197
"643",10,727,4156.921938184
"644",25,727,89.652959033
"645",10,728,4156.921938184
"646",25,728,137.006271143
"647",10,729,4156.921938184
"648",11,729,21.210589014
"649",25,729,303.940397021
"650",10,730,4156.921938184
"651",25,730,27.650527783
"652",10,731,3997.482825684
"653",11,731,149.606736182
"654",25,731,341.014072266
"655",12,732,47.275941943
"656",13,732,50.881907324
"657",12,733,263.437445752
"658",13,733,284.011252588
"659",12,734,272.231590381
"660",13,734,176.015303516
"661",12,735,220.875462012
"662",13,735,131.004755127
"663",12,736,340.709348486
"664",13,736,449.643989404
"665",12,737,286.798065771
"666",13,737,34.069602686
"667",12,738,70.299053369
"668",13,738,483.43332334
"669",12,739,80.106417188
"670",13,739,393.311599072
"671",11,740,21.698425098
"672",12,740,73.741093213
"673",13,740,83.891739746
"674",11,741,2.719268555
"675",17,744,3
"676",18,744,349.41749458
"677",19,744,358.966012256
"678",20,744,268.053686572
"679",17,745,105.214127295
"680",18,745,104.408245313
"681",19,745,107.445007666
"682",20,745,413.051196191
"683",17,746,110.952747412
"684",18,746,374.2142521
"685",19,746,223.415977246
"686",20,746,91.181198682
"687",17,747,46.721013281
"688",18,747,704.820525
"689",19,747,124.167486182
"690",20,747,6
"691",18,748,117.291244238
"692",19,748,9.261228418
"693",20,748,2.311254004
"694",22,749,58.873837061
"695",23,749,39.367303613
"696",24,749,379.082051758
"697",22,750,461.539750049
"698",23,750,15.999999805
"699",24,750,356.235911328
"700",25,750,11.280761768
"701",25,751,163.839446973
"702",25,752,429.938291748
"703",10,753,3988.700363379
"704",25,753,148.133200391
"705",10,754,4156.921938086
"706",25,754,52.71897002
"707",10,755,4156.921938135
"708",25,755,382.750911475
"709",10,756,4156.921938135
"710",25,756,359.327167041
"711",10,757,4156.921938086
"712",25,757,19.132577148
"713",10,758,4156.921938135
"714",25,758,284.662272949
"715",10,759,1876.190583496
"716",11,759,0.369043408
"717",13,759,117.049925
"718",25,759,117.253616846
"719",12,760,357.845697705
"720",13,760,89.414150049
"721",12,761,599.017360889
"722",13,761,134.668082422
"723",12,762,105.323675391
"724",13,762,17.805496875
"725",12,763,216.811913672
"726",13,763,109.686839551
"727",12,764,250.13438125
"728",13,764,515.255507959
"729",12,765,140.15768916
"730",13,765,360.375204053
"731",12,766,45.174882324
"732",13,766,135.813481836
"733",12,767,201.619435059
"734",13,767,263.827533594
"735",11,768,133.586239014
"736",12,768,7.623380859
"737",13,768,48.7449625
"738",18,771,31.685355029
"739",19,771,100.738689111
"740",20,771,141.616548779
"741",17,772,243.618373193
"742",18,772,93.205879395
"743",19,772,82.221219922
"744",20,772,515.166555322
"745",17,773,220.311442969
"746",18,773,323.098289258
"747",19,773,160.823201953
"748",20,773,274.281335156
"749",17,774,86.834394531
"750",18,774,116.94300376
"751",19,774,28.375586914
"752",17,775,34.462932275
"753",18,775,227.083749951
"754",19,775,37.404789307
"755",20,775,29.458839941
"756",17,776,1
"757",18,776,14.198490576
"758",19,776,15.946133838
"759",20,776,3.877057129
"760",22,776,27.303201123
"761",23,776,169.9477125
"762",24,776,647.702639844
"763",22,777,449.538080615
"764",23,777,211.643248438
"765",24,777,692.854671631
"766",22,778,336.683272998
"767",23,778,150.91577915
"768",24,778,403.406513428
"769",25,778,5.260417969
"770",25,779,235.278672314
"771",10,780,25.262829883
"772",25,780,344.142241455
"773",10,781,4156.921938135
"774",25,781,588.992118066
"775",10,782,4156.921938184
"776",25,782,202.298156689
"777",10,783,4156.921938086
"778",25,783,506.05009873
"779",10,784,4156.921938184
"780",25,784,23.211346924
"781",10,785,4156.921938135
"782",25,785,239.272958594
"783",10,786,4156.921938184
"784",25,786,991.370560742
"785",14,787,88.224898828
"786",25,787,36.117520313
"787",12,788,369.878952881
"788",13,788,200.208492432
"789",12,789,888.654337061
"790",13,789,405.028711963
"791",12,790,228.022676563
"792",13,790,47.951418994
"793",12,791,95.709313379
"794",13,791,72.942922266
"795",12,792,44.630012988
"796",13,792,47.551163574
"797",12,793,1099.048066553
"798",13,793,178.287223438
"799",12,794,139.295473682
"800",13,794,114.158418115
"801",11,795,58.390306787
"802",12,795,49.858771582
"803",13,795,212.520996875
"804",11,796,19.42718501
"805",17,799,7.015696045
"806",18,799,64.367396875
"807",19,799,80.756555225
"808",20,799,346.735038379
"809",17,800,157.500946289
"810",18,800,287.348379053
"811",19,800,111.229241943
"812",20,800,367.510344678
"813",17,801,53.570646143
"814",18,801,412.649643506
"815",19,801,107.347079346
"816",20,801,117.606181445
"817",17,802,34.349449121
"818",18,802,178.287464307
"819",19,802,242.275567529
"820",20,802,168.942201318
"821",17,803,28.460946045
"822",18,803,208.619330469
"823",19,803,178.688833301
"824",20,803,87.444631836
"825",22,803,881.431674121
"826",23,803,2.035583496
"827",24,803,41.012632568
"828",22,804,1098.490175049
"829",23,804,227.349099414
"830",24,804,458.772939404
"831",22,805,352.336416455
"832",23,805,133.640445605
"833",24,805,556.464459033
"834",22,806,135.311248584
"835",23,806,428.511842041
"836",24,806,203.265916846
"837",25,806,108.561854443
"838",22,807,94.027990918
"839",24,807,24.950838428
"840",25,807,469.648210693
"841",10,808,1493.623404199
"842",25,808,143.733106885
"843",10,809,4156.921938184
"844",25,809,118.892669873
"845",10,810,4156.921938184
"846",25,810,350.253929785
"847",10,811,4156.921938135
"848",25,811,457.655558447
"849",10,812,4156.921938135
"850",10,813,4156.059811719
"851",25,813,131.455121631
"852",10,814,770.363471777
"853",14,814,343.377824707
"854",25,814,220.376698389
"855",13,815,445.773468799
"856",14,815,19.912402246
"857",12,816,115.295920215
"858",13,816,427.177902979
"859",12,817,516.398511133
"860",13,817,532.496392236
"861",12,818,264.425877051
"862",13,818,14.95379624
"863",12,819,472.224382373
"864",13,819,45.314174023
"865",12,820,158.384756641
"866",13,820,71.234618848
"867",12,821,302.097546631
"868",13,821,42.651801416
"869",12,822,64.348082129
"870",13,822,161.520638428
"871",12,823,80.931748828
"872",13,823,12.575245605
"873",19,826,1.201132617
"874",18,827,107.603058984
"875",19,827,104.870319434
"876",20,827,636.480029541
"877",17,828,370.677240283
"878",18,828,683.991537305
"879",19,828,329.152753857
"880",20,828,254.178591309
"881",17,829,173.695164697
"882",18,829,274.342818164
"883",19,829,129.424671924
"884",20,829,256.386600146
"885",17,830,48.94361709
"886",18,830,254.690307813
"887",19,830,51.279379053
"888",20,830,114.585167773
"889",17,831,2.65625
"890",18,831,10.461478369
"891",20,831,23.263921436
"892",22,831,35.416445117
"893",23,831,7.684491309
"894",24,831,72.63170835
"895",22,832,638.393671143
"896",23,832,219.185419727
"897",24,832,311.078698389
"898",22,833,522.232568457
"899",23,833,222.709052295
"900",24,833,509.979542139
"901",22,834,211.548239014
"902",23,834,244.469816309
"903",24,834,96.350401318
"904",25,834,132.828682227
"905",25,835,351.594504443
"906",10,836,3031.764405615
"907",23,836,17.345706982
"908",25,836,352.866827344
"909",10,837,4156.921938184
"910",23,837,5.092414063
"911",25,837,208.190862305
"912",10,838,4156.921938232
"913",25,838,303.691901172
"914",10,839,4156.921938232
"915",25,839,210.950708838
"916",10,840,4099.990469434
"917",25,840,34.903370703
"918",10,841,1051.683450586
"919",14,841,103.549826904
"920",25,841,8.411808496
"921",14,842,189.300639795
"922",12,843,3.266982568
"923",13,843,6.503457568
"924",14,843,96.791531055
"925",12,844,366.808257666
"926",13,844,700.774663867
"927",12,845,387.360708838
"928",13,845,135.584085107
"929",12,846,84.573601953
"930",13,846,115.591089453
"931",12,847,236.146869824
"932",13,847,20.817279346
"933",12,848,93.3704125
"934",13,848,111.700999902
"935",12,849,535.24439707
"936",13,849,269.885740674
"937",11,850,3.684684229
"938",12,850,120.429150391
"939",13,850,16.916670801
"940",11,851,396.807178076
"941",19,854,447.719700488
"942",20,854,125.737545898
"943",17,855,201.581296875
"944",18,855,604.327297803
"945",19,855,214.612141357
"946",20,855,490.590793799
"947",17,856,13.616059326
"948",18,856,164.266479443
"949",19,856,109.838899268
"950",20,856,35.015294678
"951",17,857,305.20456543
"952",18,857,164.573696484
"953",19,857,518.36859624
"954",20,857,10.04598999
"955",17,858,29.1142021
"956",18,858,100.084101611
"957",19,858,259.600009131
"958",20,858,49.042297656
"959",17,859,30.867100488
"960",18,859,55.65556748
"961",19,859,31.970287061
"962",20,859,145.766544238
"963",22,859,197.833625977
"964",23,859,42.726147754
"965",24,859,298.216792725
"966",22,860,1040.776344873
"967",23,860,66.841424951
"968",24,860,243.395467969
"969",22,861,318.545666992
"970",23,861,316.575206396
"971",24,861,431.616144238
"972",22,862,418.880064746
"973",23,862,277.499429443
"974",24,862,405.027224268
"975",25,862,35.78714292
"976",25,863,358.327433838
"977",10,864,4091.444951611
"978",23,864,22.603940918
"979",24,864,0.640380908
"980",25,864,80.842348438
"981",10,865,4156.921938184
"982",25,865,295.896638281
"983",10,866,4156.921938184
"984",25,866,1168.090470801
"985",10,867,2937.78205835
"986",10,868,392.232719336
"987",14,868,436.533250537
"988",25,868,38.783638672
"989",14,869,165.437191895
"990",25,869,1037.739932861
"991",14,870,316.24965835
"992",12,871,0.818343994
"993",13,871,3.849662012
"994",12,872,300.068684912
"995",13,872,480.861836768
"996",12,873,913.218293848
"997",13,873,421.921824219
"998",12,874,202.877820068
"999",13,874,137.974677881
"1000",12,875,195.581276221
"1001",13,875,315.073071191
"1002",12,876,167.236188916
"1003",13,876,465.709914502
"1004",11,877,3.280769043
"1005",12,877,214.9382396
"1006",13,877,257.43903833
"1007",11,878,21.145645703
"1008",12,878,104.152432568
"1009",13,878,11.817630615
"1010",11,879,17.987011719
"1011",17,882,348.254896094
"1012",18,882,212.973418799
"1013",19,882,226.636746582
"1014",20,882,744.911651563
"1015",17,883,44.115039648
"1016",18,883,555.206530469
"1017",19,883,100.895421875
"1018",20,883,252.52764502
"1019",17,884,449.567810693
"1020",18,884,290.261263672
"1021",19,884,337.692958301
"1022",20,884,162.107257373
"1023",17,885,5.040343945
"1024",18,885,4.105555615
"1025",19,885,136.25429082
"1026",20,885,15.31982373
"1027",17,886,16.561804248
"1028",18,886,54.798323682
"1029",19,886,36.505242432
"1030",20,886,41.671045947
"1031",17,887,23.862367773
"1032",18,887,43.569539941
"1033",19,887,8.280761621
"1034",20,887,97.840474365
"1035",22,887,318.394883838
"1036",23,887,46.888618701
"1037",24,887,79.347773584
"1038",17,888,151.171891943
"1039",22,888,622.297681689
"1040",23,888,379.281471826
"1041",24,888,515.866696875
"1042",22,889,462.281449365
"1043",23,889,760.240899268
"1044",24,889,202.923612354
"1045",22,890,70.267304102
"1046",23,890,83.536418408
"1047",24,890,201.011907617
"1048",25,890,457.327432471
"1049",10,891,45.596823242
"1050",22,891,36.56092251
"1051",23,891,114.337198438
"1052",24,891,184.84973833
"1053",25,891,54.267002783
"1054",10,892,4156.921938184
"1055",23,892,10.495264453
"1056",25,892,103.375799951
"1057",10,893,4156.921938184
"1058",25,893,172.7153875
"1059",10,894,2091.416998438
"1060",25,894,96.400303418
"1061",10,895,51.32742041
"1062",14,895,5.326999707
"1063",25,895,6.846669287
